,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.6547619047619048,0,0,0,0,0,0.6547619047619048,0,0,0,0,1,0.6573705179282868,0,1,0,0
1,0,0.6653696498054474,0,0,0,0,0,0.6653696498054474,0,0,0,0,1,0.66796875,0,1,0,0
2,0,0.6640316205533597,0,0,0,0,0,0.6640316205533597,0,0,0,0,1,0.6666666666666666,0,1,0,0
3,0,0.6705426356589147,0,0,0,0,0,0.6705426356589147,0,0,0,0,1,0.6731517509727627,0,1,0,0
4,0,0.65748031496063,0,0,0,0,0,0.65748031496063,0,0,0,0,1,0.6600790513833992,0,1,0,0
5,1,0.6447876447876448,1,0,0,0,1,0.6447876447876448,1,0,0,0,1,0.6447876447876448,1,0,0,0
6,1,0.6983471074380165,1,0,0,0,1,0.6983471074380165,1,0,0,0,1,0.6983471074380165,1,0,0,0
7,1,0.671875,1,0,0,0,1,0.671875,1,0,0,0,1,0.671875,1,0,0,0
8,1,0.6401515151515151,1,0,0,0,1,0.6401515151515151,1,0,0,0,1,0.6401515151515151,1,0,0,0
9,1,0.6532258064516129,1,0,0,0,1,0.6532258064516129,1,0,0,0,1,0.6532258064516129,1,0,0,0
10,1,0.637065637065637,1,0,0,0,1,0.637065637065637,1,0,0,0,1,0.637065637065637,1,0,0,0
11,1,0.6825396825396826,1,0,0,0,1,0.6825396825396826,1,0,0,0,1,0.6825396825396826,1,0,0,0
12,1,0.6338582677165354,1,0,0,0,1,0.6338582677165354,1,0,0,0,1,0.6338582677165354,1,0,0,0
13,1,0.6575875486381323,1,0,0,0,1,0.6575875486381323,1,0,0,0,1,0.6575875486381323,1,0,0,0
14,1,0.6963562753036437,1,0,0,0,1,0.6963562753036437,1,0,0,0,1,0.6963562753036437,1,0,0,0
15,1,0.64453125,1,0,0,0,1,0.64453125,1,0,0,0,6,0.6573705179282868,3,3,0,0
16,1,0.6547619047619048,1,0,0,0,1,0.6547619047619048,1,0,0,0,6,0.6680161943319838,3,3,0,0
17,1,0.6679841897233202,1,0,0,0,1,0.6679841897233202,1,0,0,0,6,0.6814516129032258,3,3,0,0
18,1,0.6404494382022472,1,0,0,0,1,0.6404494382022472,1,0,0,0,6,0.6526717557251909,3,3,0,0
19,1,0.7012448132780082,1,0,0,0,1,0.7012448132780082,1,0,0,0,6,0.7161016949152542,3,3,0,0
20,1,0.6666666666666666,1,0,0,0,1,0.6666666666666666,1,0,0,0,2,0.6693877551020408,1,1,0,0
21,1,0.6627450980392157,1,0,0,0,1,0.6627450980392157,1,0,0,0,2,0.6653543307086615,1,1,0,0
22,1,0.66,1,0,0,0,1,0.66,1,0,0,0,2,0.6626506024096386,1,1,0,0
23,1,0.6666666666666666,1,0,0,0,1,0.6666666666666666,1,0,0,0,2,0.669260700389105,1,1,0,0
24,1,0.65,1,0,0,0,1,0.65,1,0,0,0,2,0.6525096525096525,1,1,0,0
25,1,0.6775510204081633,1,0,0,0,1,0.6775510204081633,1,0,0,0,2,0.680327868852459,1,1,0,0
26,1,0.6575875486381323,1,0,0,0,1,0.6575875486381323,1,0,0,0,2,0.66015625,1,1,0,0
27,1,0.6384615384615384,1,0,0,0,1,0.6384615384615384,1,0,0,0,2,0.640926640926641,1,1,0,0
28,1,0.66796875,1,0,0,0,1,0.66796875,1,0,0,0,2,0.6705882352941176,1,1,0,0
29,1,0.6653386454183267,1,0,0,0,1,0.6653386454183267,1,0,0,0,2,0.668,1,1,0,0
30,1,0.6434108527131783,1,0,0,0,1,0.6434108527131783,1,0,0,0,2,0.6459143968871596,1,1,0,0
31,1,0.62890625,1,0,0,0,1,0.62890625,1,0,0,0,2,0.6313725490196078,1,1,0,0
32,1,0.6774193548387096,1,0,0,0,1,0.6774193548387096,1,0,0,0,2,0.680161943319838,1,1,0,0
33,1,0.66796875,1,0,0,0,1,0.66796875,1,0,0,0,2,0.6705882352941176,1,1,0,0
34,1,0.6892430278884463,1,0,0,0,1,0.6892430278884463,1,0,0,0,2,0.692,1,1,0,0
35,1,0.7095435684647303,1,0,0,0,1,0.7095435684647303,1,0,0,0,1,0.7095435684647303,1,0,0,0
36,1,0.6324110671936759,1,0,0,0,1,0.6324110671936759,1,0,0,0,1,0.6324110671936759,1,0,0,0
37,1,0.6563706563706564,1,0,0,0,1,0.6563706563706564,1,0,0,0,1,0.6563706563706564,1,0,0,0
38,1,0.6615384615384615,1,0,0,0,1,0.6615384615384615,1,0,0,0,1,0.6615384615384615,1,0,0,0
39,1,0.6484375,1,0,0,0,1,0.6484375,1,0,0,0,1,0.6484375,1,0,0,0
40,1,0.668,1,0,0,0,1,0.668,1,0,0,0,1,0.668,1,0,0,0
41,1,0.6536964980544747,1,0,0,0,1,0.6536964980544747,1,0,0,0,1,0.6536964980544747,1,0,0,0
42,1,0.6814516129032258,1,0,0,0,1,0.6814516129032258,1,0,0,0,1,0.6814516129032258,1,0,0,0
43,1,0.6307692307692307,1,0,0,0,1,0.6307692307692307,1,0,0,0,1,0.6307692307692307,1,0,0,0
44,1,0.6732283464566929,1,0,0,0,1,0.6732283464566929,1,0,0,0,1,0.6732283464566929,1,0,0,0
45,1,0.6788617886178862,1,0,0,0,1,0.6788617886178862,1,0,0,0,2,0.6816326530612244,1,1,0,0
46,1,0.65748031496063,1,0,0,0,1,0.65748031496063,1,0,0,0,2,0.6600790513833992,1,1,0,0
47,1,0.6653696498054474,1,0,0,0,1,0.6653696498054474,1,0,0,0,2,0.66796875,1,1,0,0
48,1,0.6536964980544747,1,0,0,0,1,0.6536964980544747,1,0,0,0,2,0.65625,1,1,0,0
49,1,0.6509803921568628,1,0,0,0,1,0.6509803921568628,1,0,0,0,2,0.6535433070866141,1,1,0,0
