,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.3297872340425531,0,0,0,0,0,0.3297872340425531,0,0,0,0,,,,,,
1,0,0.3737373737373737,0,0,0,0,0,0.3737373737373737,0,0,0,0,,,,,,
2,0,0.3578947368421052,0,0,0,0,0,0.3578947368421052,0,0,0,0,,,,,,
3,0,0.39,0,0,0,0,0,0.39,0,0,0,0,,,,,,
4,0,0.34375,0,0,0,0,0,0.34375,0,0,0,0,,,,,,
5,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0,0,0,,,,,,
6,0,0.4235294117647059,0,0,0,0,0,0.4235294117647059,0,0,0,0,,,,,,
7,0,0.3939393939393939,0,0,0,0,0,0.3939393939393939,0,0,0,0,,,,,,
8,0,0.3364485981308411,0,0,0,0,0,0.3364485981308411,0,0,0,0,,,,,,
9,0,0.3186813186813186,0,0,0,0,0,0.3186813186813186,0,0,0,0,,,,,,
10,0,0.3137254901960784,0,0,0,0,0,0.3137254901960784,0,0,0,0,,,,,,
11,0,0.4105263157894737,0,0,0,0,0,0.4105263157894737,0,0,0,0,,,,,,
12,0,0.2886597938144329,0,0,0,0,0,0.2886597938144329,0,0,0,0,,,,,,
13,0,0.36,0,0,0,0,0,0.36,0,0,0,0,,,,,,
14,0,0.4333333333333333,0,0,0,0,0,0.4333333333333333,0,0,0,0,,,,,,
15,0,0.3232323232323232,0,0,0,0,0,0.3232323232323232,0,0,0,0,,,,,,
16,0,0.3368421052631579,0,0,0,0,0,0.3368421052631579,0,0,0,0,,,,,,
17,0,0.375,0,0,0,0,0,0.375,0,0,0,0,,,,,,
18,0,0.3454545454545454,0,0,0,0,0,0.3454545454545454,0,0,0,0,,,,,,
19,0,0.4285714285714285,0,0,0,0,0,0.4285714285714285,0,0,0,0,,,,,,
20,1,0.3409090909090909,1,0,0,0,1,0.3409090909090909,1,0,0,0,,,,,,
21,1,0.3608247422680412,1,0,0,0,1,0.3608247422680412,1,0,0,0,,,,,,
22,1,0.3369565217391304,1,0,0,0,1,0.3369565217391304,1,0,0,0,,,,,,
23,1,0.38,1,0,0,0,1,0.38,1,0,0,0,,,,,,
24,1,0.3431372549019608,1,0,0,0,1,0.3431372549019608,1,0,0,0,,,,,,
25,0,0.375,0,0,0,0,0,0.375,0,0,0,0,,,,,,
26,0,0.36,0,0,0,0,0,0.36,0,0,0,0,,,,,,
27,0,0.3203883495145631,0,0,0,0,0,0.3203883495145631,0,0,0,0,,,,,,
28,0,0.3838383838383838,0,0,0,0,0,0.3838383838383838,0,0,0,0,,,,,,
29,0,0.3617021276595745,0,0,0,0,0,0.3617021276595745,0,0,0,0,,,,,,
30,0,0.3267326732673267,0,0,0,0,0,0.3267326732673267,0,0,0,0,,,,,,
31,0,0.2828282828282828,0,0,0,0,0,0.2828282828282828,0,0,0,0,,,,,,
32,0,0.3846153846153846,0,0,0,0,0,0.3846153846153846,0,0,0,0,,,,,,
33,0,0.3838383838383838,0,0,0,0,0,0.3838383838383838,0,0,0,0,,,,,,
34,0,0.425531914893617,0,0,0,0,0,0.425531914893617,0,0,0,0,,,,,,
35,0,0.4523809523809524,0,0,0,0,0,0.4523809523809524,0,0,0,0,,,,,,
36,0,0.28125,0,0,0,0,0,0.28125,0,0,0,0,,,,,,
37,0,0.3627450980392157,0,0,0,0,0,0.3627450980392157,0,0,0,0,,,,,,
38,0,0.3786407766990291,0,0,0,0,0,0.3786407766990291,0,0,0,0,,,,,,
39,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0,0,0,,,,,,
40,0,0.3655913978494624,0,0,0,0,0,0.3655913978494624,0,0,0,0,,,,,,
41,0,0.35,0,0,0,0,0,0.35,0,0,0,0,,,,,,
42,0,0.3956043956043956,0,0,0,0,0,0.3956043956043956,0,0,0,0,,,,,,
43,0,0.3009708737864077,0,0,0,0,0,0.3009708737864077,0,0,0,0,,,,,,
44,0,0.3917525773195876,0,0,0,0,0,0.3917525773195876,0,0,0,0,,,,,,
45,0,0.3820224719101123,0,0,0,0,0,0.3820224719101123,0,0,0,0,,,,,,
46,0,0.3505154639175257,0,0,0,0,0,0.3505154639175257,0,0,0,0,,,,,,
47,0,0.38,0,0,0,0,0,0.38,0,0,0,0,,,,,,
48,0,0.35,0,0,0,0,0,0.35,0,0,0,0,,,,,,
49,0,0.336734693877551,0,0,0,0,0,0.336734693877551,0,0,0,0,,,,,,
