,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,6.0,0.5220588235294118,2.0,2.0,2.0,0.0
1,0,0.5238095238095238,0,0,0,0,0,0.5238095238095238,0,0,0,0,6.0,0.5460992907801419,2.0,2.0,2.0,0.0
2,0,0.5174825174825175,0,0,0,0,0,0.5174825174825175,0,0,0,0,6.0,0.5401459854014599,2.0,2.0,2.0,0.0
3,0,0.5337837837837838,0,0,0,0,0,0.5337837837837838,0,0,0,0,6.0,0.5563380281690141,2.0,2.0,2.0,0.0
4,0,0.5069444444444444,0,0,0,0,0,0.5069444444444444,0,0,0,0,6.0,0.5289855072463768,2.0,2.0,2.0,0.0
5,0,0.4933333333333333,0,0,0,0,0,0.4933333333333333,0,0,0,0,4.0,0.4863013698630137,0.0,4.0,0.0,0.0
6,0,0.5714285714285714,0,0,0,0,0,0.5714285714285714,0,0,0,0,4.0,0.5658914728682171,0.0,4.0,0.0,0.0
7,0,0.5374149659863946,0,0,0,0,0,0.5374149659863946,0,0,0,0,4.0,0.5314685314685315,0.0,4.0,0.0,0.0
8,0,0.4903225806451612,0,0,0,0,0,0.4903225806451612,0,0,0,0,4.0,0.4834437086092715,0.0,4.0,0.0,0.0
9,0,0.4964028776978417,0,0,0,0,0,0.4964028776978417,0,0,0,0,4.0,0.4888888888888889,0.0,4.0,0.0,0.0
10,1,0.4765100671140939,1,0,0,0,1,0.4765100671140939,1,0,0,0,8.0,0.5,3.0,2.0,2.0,1.0
11,1,0.5492957746478874,1,0,0,0,1,0.5492957746478874,1,0,0,0,8.0,0.5777777777777777,3.0,2.0,2.0,1.0
12,1,0.4652777777777778,1,0,0,0,1,0.4652777777777778,1,0,0,0,8.0,0.4890510948905109,3.0,2.0,2.0,1.0
13,1,0.5102040816326531,1,0,0,0,1,0.5102040816326531,1,0,0,0,8.0,0.5357142857142857,3.0,2.0,2.0,1.0
14,1,0.5693430656934306,1,0,0,0,1,0.5693430656934306,1,0,0,0,8.0,0.6,3.0,2.0,2.0,1.0
15,0,0.4897959183673469,0,0,0,0,0,0.4897959183673469,0,0,0,0,2.0,0.4827586206896552,0.0,2.0,0.0,0.0
16,0,0.5034965034965035,0,0,0,0,0,0.5034965034965035,0,0,0,0,2.0,0.4964539007092198,0.0,2.0,0.0,0.0
17,0,0.5277777777777778,0,0,0,0,0,0.5277777777777778,0,0,0,0,2.0,0.5211267605633803,0.0,2.0,0.0,0.0
18,0,0.4936708860759494,0,0,0,0,0,0.4936708860759494,0,0,0,0,2.0,0.4871794871794871,0.0,2.0,0.0,0.0
