,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.6091370558375635,0,0,0,0,0,0.6091370558375635,0,0,0,0,0,0.6091370558375635,0,0,0,0
1,0,0.6237623762376238,0,0,0,0,0,0.6237623762376238,0,0,0,0,0,0.6237623762376238,0,0,0,0
2,0,0.6212121212121212,0,0,0,0,0,0.6212121212121212,0,0,0,0,0,0.6212121212121212,0,0,0,0
3,0,0.6305418719211823,0,0,0,0,0,0.6305418719211823,0,0,0,0,0,0.6305418719211823,0,0,0,0
4,0,0.6130653266331658,0,0,0,0,0,0.6130653266331658,0,0,0,0,0,0.6130653266331658,0,0,0,0
5,1,0.5980392156862745,1,0,0,0,1,0.5980392156862745,1,0,0,0,5,0.61,3,2,0,0
6,1,0.6631016042780749,1,0,0,0,1,0.6631016042780749,1,0,0,0,5,0.6775956284153005,3,2,0,0
7,1,0.6318407960199005,1,0,0,0,1,0.6318407960199005,1,0,0,0,5,0.6446700507614214,3,2,0,0
8,1,0.5933014354066986,1,0,0,0,1,0.5933014354066986,1,0,0,0,5,0.6048780487804878,3,2,0,0
9,1,0.6062176165803109,1,0,0,0,1,0.6062176165803109,1,0,0,0,5,0.6190476190476191,3,2,0,0
10,1,0.5882352941176471,1,0,0,0,1,0.5882352941176471,1,0,0,0,5,0.6,1,2,0,2
11,1,0.6446700507614214,1,0,0,0,1,0.6446700507614214,1,0,0,0,5,0.6580310880829016,1,2,0,2
12,1,0.5829145728643216,1,0,0,0,1,0.5829145728643216,1,0,0,0,5,0.5948717948717949,1,2,0,2
13,1,0.6138613861386139,1,0,0,0,1,0.6138613861386139,1,0,0,0,5,0.6262626262626263,1,2,0,2
14,1,0.6614583333333334,1,0,0,0,1,0.6614583333333334,1,0,0,0,5,0.675531914893617,1,2,0,2
15,0,0.599009900990099,0,0,0,0,0,0.599009900990099,0,0,0,0,1,0.6019900497512438,0,1,0,0
16,0,0.6111111111111112,0,0,0,0,0,0.6111111111111112,0,0,0,0,1,0.6142131979695431,0,1,0,0
17,0,0.628140703517588,0,0,0,0,0,0.628140703517588,0,0,0,0,1,0.6313131313131313,0,1,0,0
18,0,0.596244131455399,0,0,0,0,0,0.596244131455399,0,0,0,0,1,0.5990566037735849,0,1,0,0
19,0,0.6684491978609626,0,0,0,0,0,0.6684491978609626,0,0,0,0,1,0.6720430107526881,0,1,0,0
20,1,0.6230366492146597,1,0,0,0,1,0.6230366492146597,1,0,0,0,5,0.6363636363636364,3,2,0,0
21,1,0.62,1,0,0,0,1,0.62,1,0,0,0,5,0.6326530612244898,3,2,0,0
22,1,0.6153846153846154,1,0,0,0,1,0.6153846153846154,1,0,0,0,5,0.6282722513089005,3,2,0,0
23,1,0.625615763546798,1,0,0,0,1,0.625615763546798,1,0,0,0,5,0.6381909547738693,3,2,0,0
24,1,0.6048780487804878,1,0,0,0,1,0.6048780487804878,1,0,0,0,5,0.6169154228855721,3,2,0,0
25,0,0.6387434554973822,0,0,0,0,0,0.6387434554973822,0,0,0,0,3,0.6382978723404256,0,3,0,0
26,0,0.6157635467980296,0,0,0,0,0,0.6157635467980296,0,0,0,0,3,0.615,0,3,0,0
27,0,0.5922330097087378,0,0,0,0,0,0.5922330097087378,0,0,0,0,3,0.5911330049261084,0,3,0,0
28,0,0.6287128712871287,0,0,0,0,0,0.6287128712871287,0,0,0,0,3,0.628140703517588,0,3,0,0
29,0,0.6243654822335025,0,0,0,0,0,0.6243654822335025,0,0,0,0,3,0.6237113402061856,0,3,0,0
30,1,0.5960591133004927,1,0,0,0,1,0.5960591133004927,1,0,0,0,8,0.6071428571428571,3,5,0,0
