,collective_training_n_excluded,collective_training_prevalence,collective_KVP_n_excluded,collective_FocalSpots_n_excluded,collective_CE_n_excluded,collective_Manufacturer_n_excluded,covariate_training_n_excluded,covariate_training_prevalence,covariate_KVP_n_excluded,covariate_FocalSpots_n_excluded,covariate_CE_n_excluded,covariate_Manufacturer_n_excluded,separate_training_n_excluded,separate_training_prevalence,separate_KVP_n_excluded,separate_FocalSpots_n_excluded,separate_CE_n_excluded,separate_Manufacturer_n_excluded
0,0,0.3867924528301887,0,0,0,0,0,0.3867924528301887,0,0,0,0,,,,,,
1,0,0.4234234234234234,0,0,0,0,0,0.4234234234234234,0,0,0,0,,,,,,
2,0,0.411214953271028,0,0,0,0,0,0.411214953271028,0,0,0,0,,,,,,
3,0,0.4375,0,0,0,0,0,0.4375,0,0,0,0,,,,,,
4,0,0.3981481481481481,0,0,0,0,0,0.3981481481481481,0,0,0,0,,,,,,
5,0,0.3859649122807017,0,0,0,0,0,0.3859649122807017,0,0,0,0,,,,,,
6,0,0.4742268041237113,0,0,0,0,0,0.4742268041237113,0,0,0,0,,,,,,
7,0,0.4414414414414414,0,0,0,0,0,0.4414414414414414,0,0,0,0,,,,,,
8,0,0.3865546218487395,0,0,0,0,0,0.3865546218487395,0,0,0,0,,,,,,
9,0,0.3786407766990291,0,0,0,0,0,0.3786407766990291,0,0,0,0,,,,,,
10,0,0.3684210526315789,0,0,0,0,0,0.3684210526315789,0,0,0,0,,,,,,
11,0,0.4579439252336448,0,0,0,0,0,0.4579439252336448,0,0,0,0,,,,,,
12,0,0.3486238532110092,0,0,0,0,0,0.3486238532110092,0,0,0,0,,,,,,
13,0,0.4107142857142857,0,0,0,0,0,0.4107142857142857,0,0,0,0,,,,,,
14,0,0.4803921568627451,0,0,0,0,0,0.4803921568627451,0,0,0,0,,,,,,
15,0,0.3783783783783784,0,0,0,0,0,0.3783783783783784,0,0,0,0,,,,,,
16,0,0.3925233644859813,0,0,0,0,0,0.3925233644859813,0,0,0,0,,,,,,
17,0,0.4259259259259259,0,0,0,0,0,0.4259259259259259,0,0,0,0,,,,,,
18,0,0.3934426229508196,0,0,0,0,0,0.3934426229508196,0,0,0,0,,,,,,
19,0,0.4791666666666667,0,0,0,0,0,0.4791666666666667,0,0,0,0,,,,,,
20,1,0.4,1,0,0,0,1,0.4,1,0,0,0,,,,,,
21,1,0.4128440366972477,1,0,0,0,1,0.4128440366972477,1,0,0,0,,,,,,
22,1,0.3942307692307692,1,0,0,0,1,0.3942307692307692,1,0,0,0,,,,,,
23,1,0.4285714285714285,1,0,0,0,1,0.4285714285714285,1,0,0,0,,,,,,
24,1,0.3947368421052631,1,0,0,0,1,0.3947368421052631,1,0,0,0,,,,,,
25,0,0.43,0,0,0,0,0,0.43,0,0,0,0,,,,,,
26,0,0.4107142857142857,0,0,0,0,0,0.4107142857142857,0,0,0,0,,,,,,
27,0,0.3739130434782609,0,0,0,0,0,0.3739130434782609,0,0,0,0,,,,,,
28,0,0.4324324324324324,0,0,0,0,0,0.4324324324324324,0,0,0,0,,,,,,
29,0,0.4150943396226415,0,0,0,0,0,0.4150943396226415,0,0,0,0,,,,,,
30,0,0.3805309734513274,0,0,0,0,0,0.3805309734513274,0,0,0,0,,,,,,
31,0,0.3423423423423423,0,0,0,0,0,0.3423423423423423,0,0,0,0,,,,,,
32,0,0.4368932038834951,0,0,0,0,0,0.4368932038834951,0,0,0,0,,,,,,
33,0,0.4324324324324324,0,0,0,0,0,0.4324324324324324,0,0,0,0,,,,,,
34,0,0.4716981132075472,0,0,0,0,0,0.4716981132075472,0,0,0,0,,,,,,
35,0,0.5,0,0,0,0,0,0.5,0,0,0,0,,,,,,
36,0,0.3425925925925926,0,0,0,0,0,0.3425925925925926,0,0,0,0,,,,,,
37,0,0.4122807017543859,0,0,0,0,0,0.4122807017543859,0,0,0,0,,,,,,
38,0,0.4260869565217391,0,0,0,0,0,0.4260869565217391,0,0,0,0,,,,,,
39,0,0.3873873873873873,0,0,0,0,0,0.3873873873873873,0,0,0,0,,,,,,
40,0,0.419047619047619,0,0,0,0,0,0.419047619047619,0,0,0,0,,,,,,
41,0,0.4017857142857143,0,0,0,0,0,0.4017857142857143,0,0,0,0,,,,,,
42,0,0.4466019417475728,0,0,0,0,0,0.4466019417475728,0,0,0,0,,,,,,
43,0,0.3565217391304348,0,0,0,0,0,0.3565217391304348,0,0,0,0,,,,,,
44,0,0.4403669724770642,0,0,0,0,0,0.4403669724770642,0,0,0,0,,,,,,
45,0,0.4356435643564356,0,0,0,0,0,0.4356435643564356,0,0,0,0,,,,,,
46,0,0.4036697247706422,0,0,0,0,0,0.4036697247706422,0,0,0,0,,,,,,
47,0,0.4285714285714285,0,0,0,0,0,0.4285714285714285,0,0,0,0,,,,,,
48,0,0.4017857142857143,0,0,0,0,0,0.4017857142857143,0,0,0,0,,,,,,
49,0,0.3909090909090909,0,0,0,0,0,0.3909090909090909,0,0,0,0,,,,,,
